value_loss,explained_variance,reconstruct_loss,contrastive_loss,atten_decoder_loss,total_timesteps,policy_loss,fps,atten_encoder_loss,policy_entropy,nupdates,ep_len_mean,ep_reward_mean,total_timesteps_eval,fps_eval,explained_variance_eval,ep_reward_mean_eval,ep_len_mean_eval
0.0036138177383691072,-0.006653785705566406,0.017234861850738525,1.9915375709533691,0.02027180790901184,22660080,-0.029827216640114784,273,0.0,1.3814518451690674,1,198.71,1.72,,,,,
0.0024443946313112974,-0.011850476264953613,0.017350565642118454,1.9930849075317383,0.01937841810286045,22700000,-0.024371499195694923,264,4.747071579913609e-05,1.383857011795044,500,177.45,1.26,,,,,
0.06407038867473602,0.0007015466690063477,0.017296433448791504,1.995603322982788,0.015782270580530167,22740000,0.05584578961133957,264,0.00012932387471664697,1.3820873498916626,1000,182.31,1.34,,,,,
,,,,,,,,,,,,,22760080,449,0.0002809762954711914,1.5,189.43
0.07454657554626465,0.0006099343299865723,0.01740117184817791,1.993241310119629,0.018282249569892883,22770080,0.07273875176906586,243,9.567350207362324e-05,1.3842031955718994,1,194.58,1.65,,,,,
0.007722727954387665,-0.017014622688293457,0.01747356913983822,1.996383786201477,0.015747562050819397,22810000,-0.060975365340709686,260,4.258158151060343e-05,1.3839744329452515,500,178.65,1.3,,,,,
0.0011032198090106249,-0.01668870449066162,0.01738881878554821,1.9973270893096924,0.017393866553902626,22850000,-0.014392909593880177,260,4.24402387579903e-05,1.383186936378479,1000,185.71,1.52,,,,,
,,,,,,,,,,,,,22870080,368,0.0011171698570251465,1.27,177.67
0.0011259333696216345,-0.03926539421081543,0.01724262908101082,1.9939475059509277,0.01986106112599373,22880080,-0.016043320298194885,238,1.6916883396334015e-05,1.3801294565200806,1,177.01,1.26,,,,,
0.09662669897079468,0.0008398294448852539,0.017301933839917183,1.9974899291992188,0.0178468469530344,22920000,0.12577304244041443,263,2.1686029867851175e-05,1.379555106163025,500,181.01,1.36,,,,,
0.0007936232723295689,-0.023993849754333496,0.017496827989816666,1.9992046356201172,0.01381044089794159,22960000,-0.015291078016161919,264,7.555454067187384e-05,1.3854292631149292,1000,164.1,1.01,,,,,
,,,,,,,,,,,,,22980080,349,0.0008232593536376953,1.29,178.11
0.008571209385991096,-0.007964134216308594,0.017499616369605064,1.9998897314071655,0.01681292988359928,22990080,-0.05933361500501633,236,4.607704977388494e-05,1.3842283487319946,1,172.19,1.16,,,,,
0.02391371689736843,-0.005825519561767578,0.01750020496547222,1.9985761642456055,0.018298694863915443,23030000,-0.05543016269803047,236,5.342390068108216e-06,1.385964035987854,500,183.64,1.47,,,,,
0.005150932818651199,-0.0049065351486206055,0.017384789884090424,1.9971613883972168,0.021849393844604492,23070000,-0.04049564152956009,235,1.960015833901707e-05,1.3828166723251343,1000,183.87,1.4,,,,,
,,,,,,,,,,,,,23090080,420,-0.021524906158447266,1.62,192.16
0.09643329679965973,0.000973820686340332,0.01729193702340126,1.9961549043655396,0.021403152495622635,23100080,0.13004843890666962,239,6.121853220975026e-05,1.3859155178070068,1,165.3,1.05,,,,,
0.0046508400700986385,-0.0053511857986450195,0.017296671867370605,1.9945707321166992,0.016788220033049583,23140000,-0.03718080371618271,234,5.6064186537696514e-06,1.3848960399627686,500,174.01,1.19,,,,,
0.002473380882292986,-0.014799356460571289,0.017039276659488678,1.9922659397125244,0.01578943058848381,23180000,-0.029812121763825417,234,3.699756052810699e-05,1.383605718612671,1000,172.91,1.12,,,,,
,,,,,,,,,,,,,23200080,395,-0.010941863059997559,1.6,192.74
0.0033584139309823513,-0.00829625129699707,0.01738879457116127,1.9969558715820312,0.01784597896039486,23210080,-0.030596336349844933,275,4.342083047959022e-05,1.3778578042984009,1,186.81,1.48,,,,,
0.0036432587075978518,-0.0054939985275268555,0.017269670963287354,1.9957315921783447,0.016812920570373535,23250000,-0.029249008744955063,260,1.7999826013692655e-05,1.3844060897827148,500,184.79,1.47,,,,,
0.0013988970313221216,-0.010389447212219238,0.017262451350688934,1.9944921731948853,0.01832686923444271,23290000,-0.01749929040670395,263,1.9704908481799066e-05,1.384317398071289,1000,180.31,1.3,,,,,
,,,,,,,,,,,,,23310080,455,0.0008569955825805664,1.36,180.75
0.0287860669195652,9.685754776000977e-05,0.01752249151468277,2.0008721351623535,0.012241294607520103,23320080,-0.0022885785438120365,287,3.143780486425385e-05,1.384011149406433,1,183.29,1.39,,,,,
0.038019321858882904,0.0012614727020263672,0.017149578779935837,1.9961585998535156,0.020832011476159096,23360000,0.03360931575298309,275,0.0,1.3839733600616455,500,185.01,1.49,,,,,
0.029771339148283005,0.00020939111709594727,0.017317667603492737,1.9988433122634888,0.014298459514975548,23400000,-0.0027772963512688875,275,0.0,1.385493516921997,1000,187.4,1.6,,,,,
,,,,,,,,,,,,,23420080,433,-0.012001633644104004,1.22,174.43
0.027009353041648865,0.0008803606033325195,0.01724066771566868,1.9942715167999268,0.016804758459329605,23430080,0.009954304434359074,248,6.172628673084546e-06,1.3841722011566162,1,180.53,1.35,,,,,
0.0011994296219199896,-0.01647794246673584,0.017377810552716255,1.9965472221374512,0.01627182587981224,23470000,-0.014920586720108986,273,1.976913154067006e-05,1.3841694593429565,500,184.57,1.53,,,,,
0.038350075483322144,0.001246631145477295,0.01744307577610016,1.9967844486236572,0.019776444882154465,23510000,0.03068356215953827,274,5.7789013226283714e-05,1.3848469257354736,1000,178.78,1.3,,,,,
,,,,,,,,,,,,,23530080,424,-0.007764339447021484,1.25,175.04
0.003661317750811577,-0.006495237350463867,0.017087681218981743,1.9916144609451294,0.02334878221154213,23540080,-0.029278356581926346,274,5.896147558814846e-05,1.3823871612548828,1,183.32,1.48,,,,,
